Place,Time,Wind,Athlete,Country,Date of Birth,City,Event Date
137,19.83,+0.5,Fred Kerley,USA,07.05.95,Zürich,09.09.2021
137,19.83,+1.6,Michael Norman,USA,03.12.97,Walnut,16.04.2022
137,19.83,+0.6,Joseph Fahnbulleh,LBR,11.09.01,Eugene,10.06.2022
137,19.83,+0.3,Jereem Richards,TTO,13.01.94,Port of Spain,26.06.2022
137,19.83,-0.3,Fred Kerley,USA,07.05.95,Eugene,26.06.2022
149,19.84,+0.2,Carl Lewis,USA,01.07.61,Los Angeles,19.06.1984
149,19.84,+1.7,Francis Obikwelu,NGR,22.11.78,Sevilla,25.08.1999
149,19.84,+0.2,Tyson Gay,USA,09.08.82,London,28.07.2006
149,19.84,+0.4,Warren Weir,JAM,31.10.89,London,09.08.2012
149,19.84,+1.2,Alonso Edward,PAN,08.12.89,Lausanne,03.07.2014
149,19.84,+1.2,Wayde van Niekerk,RSA,15.07.92,Kingston,10.06.2017
149,19.84,-0.6,Michael Norman,USA,03.12.97,Paris,30.06.2018
149,19.84,-0.4,Michael Norman,USA,03.12.97,Osaka,19.05.2019
149,19.84,+0.3,Erriyon Knighton,USA,29.01.04,Eugene,27.06.2021
149,19.84,+1.1,Kenneth Bednarek,USA,14.10.98,Eugene,19.07.2022
149,19.84,+0.4,Joseph Fahnbulleh,LBR,11.09.01,Eugene,21.07.2022
149,19.84,+0.8,Erriyon Knighton,USA,29.01.04,Monaco,10.08.2022
149,19.84,+0.9,Udodi Chudi Onwuzurike,NGR,29.01.03,Austin,09.06.2023
162,19.85,+0.4,Michael Johnson,USA,13.09.67,Edinburgh,06.07.1990
162,19.85,+0.3,Frank Fredericks,NAM,02.10.67,Stuttgart,20.08.1993
162,19.85,-0.9,Ato Boldon,TTO,30.12.73,Lausanne,03.07.1996
162,19.85,+1.1,Michael Johnson,USA,13.09.67,Oslo,05.07.1996
162,19.85,-0.3,John Capel,USA,27.10.78,Sacramento,23.07.2000
162,19.85A,±0.0,Shawn Crawford,USA,14.01.78,Pretoria,12.04.2002
162,19.85,-0.5,Konstadínos Kedéris,GRE,11.07.73,München,09.08.2002
162,19.85,-0.3,Wallace Spearmon,USA,24.12.84,Berlin,20.08.2009
162,19.85,+0.6,Wallace Spearmon,USA,24.12.84,Rieti,29.08.2010
162,19.85,+1.4,Churandy Martina,NED,03.07.84,Lausanne,23.08.2012
162,19.85,±0.0,Nickel Ashmeade,JAM,07.04.90,Zürich,30.08.2012
162,19.85,+1.9,Ameer Webb,USA,19.03.91,Ad-Dawhah,06.05.2016
162,19.85,-0.5,Christian Coleman,USA,06.03.96,Lexington,27.05.2017
175,19.86A,+1.0,Donald Quarrie,JAM,25.02.51,Cali,03.08.1971
175,19.86,-0.2,Carl Lewis,USA,01.07.61,Los Angeles,21.06.1984
175,19.86,+1.0,Michael Marsh,USA,04.08.67,New Orleans,28.06.1992
175,19.86,+1.6,Maurice Greene,USA,23.07.74,Stockholm,07.07.1997
175,19.86,+0.4,Ato Boldon,TTO,30.12.73,Athínai,16.06.1999
175,19.86,+1.7,Walter Dix,USA,31.01.86,Eugene,06.07.2008
175,19.86,+1.7,Shawn Crawford,USA,14.01.78,Eugene,06.07.2008
175,19.86,+0.5,Walter Dix,USA,31.01.86,Roma,10.06.2010
175,19.86,+0.4,Walter Dix,USA,31.01.86,Lausanne,08.07.2010
175,19.86,+0.4,Yohan Blake,JAM,26.12.89,Zürich,19.08.2010
175,19.86,+0.7,Usain Bolt,JAM,21.08.86,Oslo,09.06.2011
175,19.86,+1.5,Jason Young,JAM,21.03.91,Luzern,17.07.2012
175,19.86,+1.6,Isiah Young,USA,05.01.90,Des Moines,23.06.2013
175,19.86,+0.8,Ramil Guliyev,TUR,29.05.90,Bruxelles,06.09.2019
175,19.86,+0.1,Noah Lyles,USA,18.07.97,Ad-Dawhah,30.09.2019
175,19.86,+0.8,Noah Lyles,USA,18.07.97,Clermont,01.05.2022
175,19.86,+1.1,Jereem Richards,TTO,13.01.94,Eugene,19.07.2022
175,19.86,+0.9,Courtney Lindsey,USA,18.11.98,Austin,09.06.2023
193,19.87,+0.8,Lorenzo Daniel,USA,23.03.66,Eugene,03.06.1988
193,19.87A,+1.8,John Regis,GBR,13.10.66,Sestriere,31.07.1994
193,19.87,+1.2,Jeff Williams,USA,31.12.65,Fresno,13.04.1996
193,19.87,-1.2,Frank Fredericks,NAM,02.10.67,Osaka,08.05.1999
193,19.87,+1.4,John Capel,USA,27.10.78,Boise,05.06.1999
193,19.87,+0.1,Wallace Spearmon,USA,24.12.84,Athínai,17.09.2006
193,19.87,-0.2,Warren Weir,JAM,31.10.89,Bruxelles,06.09.2013
193,19.87,-0.2,Justin Gatlin,USA,10.02.82,Beijing,26.08.2015
193,19.87,-0.1,Anaso Jobodwana,RSA,30.07.92,Beijing,27.08.2015
193,19.87,-0.1,Alonso Edward,PAN,08.12.89,Beijing,27.08.2015
193,19.87,-0.1,Alex Quiñonez,ECU,11.08.89,Lausanne,05.07.2019
193,19.87,+0.8,Andre De Grasse,CAN,10.11.94,Bruxelles,06.09.2019
193,19.87,-0.3,Kenneth Bednarek,USA,14.10.98,Eugene,26.06.2022
193,19.87,+0.6,Andrew Hudson,JAM,14.12.96,Nassau,21.08.2022
193,19.87A,-0.3,Letsile Tebogo,BOT,07.06.03,Gaborone,29.04.2023
193,19.87,+0.9,Terrence Jones,BAH,08.11.02,Austin,09.06.2023
209,19.88A,+1.5,Michael Johnson,USA,13.09.67,Sestriere,08.08.1990
209,19.88,-0.9,Michael Johnson,USA,13.09.67,Barcelona,20.09.1991
209,19.88,+1.7,Michael Marsh,USA,04.08.67,Atlanta,18.05.1996
209,19.88,-0.4,Ato Boldon,TTO,30.12.73,Athínai,17.06.1998
209,19.88,-0.3,Floyd Heard,USA,24.03.66,Sacramento,23.07.2000
209,19.88,+0.1,Joshua J. Johnson,USA,10.05.76,Bruxelles,24.08.2001
209,19.88,+0.3,Shawn Crawford,USA,14.01.78,Sacramento,16.07.2004
209,19.88,+0.4,Usain Bolt,JAM,21.08.86,Lausanne,11.07.2006
209,19.88,-0.1,Wallace Spearmon,USA,24.12.84,Stuttgart,10.09.2006
209,19.88,+0.7,Wallace Spearmon,USA,24.12.84,Bruxelles,14.09.2007
209,19.88,+0.1,Wallace Spearmon,USA,24.12.84,Daegu,03.10.2007
209,19.88,+0.3,Andre De Grasse,CAN,10.11.94,Toronto,24.07.2015
209,19.88,-0.4,Ramil Guliyev,TUR,29.05.90,Zagreb,08.09.2015
209,19.88,+1.2,Miguel Francis,ANT,28.02.95,Kingston,11.06.2016
209,19.88,+0.4,Michael Norman,USA,03.12.97,Lausanne,05.07.2018
209,19.88,+0.9,Xie Zhenye,CHN,17.08.93,London,21.07.2019
209,19.88,+1.6,Divine Oduduru,NGR,07.10.96,Jacksonville,29.04.2021
209,19.88,+0.4,Kenneth Bednarek,USA,14.10.98,Ad-Dawhah,28.05.2021
209,19.88,+1.1,Erriyon Knighton,USA,29.01.04,Eugene,26.06.2021
209,19.88,+0.8,Erriyon Knighton,USA,29.01.04,Székesfehérvár,08.08.2022
209,19.88,+0.6,Courtney Lindsey,USA,18.11.98,Austin,07.06.2023
230,19.89,+1.0,Michael Johnson,USA,13.09.67,Bruxelles,13.09.1991
230,19.89,+0.7,Maurice Greene,USA,23.07.74,Stuttgart,13.07.1997
230,19.89,-0.8,Claudinei Quirino da Silva,BRA,19.11.70,München,11.09.1999
230,19.89,+0.3,Michael Johnson,USA,13.09.67,Sacramento,22.07.2000
230,19.89,+1.8,Wallace Spearmon,USA,24.12.84,London,22.07.2005
230,19.89,+1.3,Usain Bolt,JAM,21.08.86,New York City,02.06.2007
230,19.89,-0.3,Wallace Spearmon,USA,24.12.84,Indianapolis,24.06.2007
230,19.89,+1.3,Jaysuma Saidy Ndure,NOR,01.01.84,Stuttgart,23.09.2007
230,19.89,-0.3,Shawn Crawford,USA,14.01.78,Berlin,20.08.2009
230,19.89,±0.0,Walter Dix,USA,31.01.86,Tallahassee,08.05.2010
230,19.89,+0.2,Warren Weir,JAM,31.10.89,London,26.07.2013
230,19.89,-0.3,Usain Bolt,JAM,21.08.86,London,22.07.2016
230,19.89,+0.4,Andre De Grasse,CAN,10.11.94,Ad-Dawhah,28.05.2021
230,19.89,+1.3,Gary Noa Jerrel Bibi,MRI,21.08.00,Albi,10.07.2022
230,19.89,±0.0,Erriyon Knighton,USA,29.01.04,Firenze,02.06.2023
230,19.89,+0.9,Robert Gregory,USA,12.12.01,Austin,09.06.2023
246,19.90,+0.3,Michael Johnson,USA,13.09.67,Norwalk,16.06.1990
246,19.90,+0.4,Frank Fredericks,NAM,02.10.67,Osaka,10.05.1997
246,19.90,+1.2,Maurice Greene,USA,23.07.74,Sevilla,27.08.1999
246,19.90,-0.8,Maurice Greene,USA,23.07.74,München,11.09.1999
246,19.90,+1.3,Asafa Powell,JAM,23.11.82,Kingston,25.06.2006
246,19.90,+0.3,Wallace Spearmon,USA,24.12.84,Indianapolis,25.06.2006
246,19.90,+0.4,Wallace Spearmon,USA,24.12.84,Lausanne,11.07.2006
246,19.90,+1.7,Wallace Spearmon,USA,24.12.84,Eugene,06.07.2008
246,19.90,+0.4,Wallace Spearmon,USA,24.12.84,London,09.08.2012
246,19.90,+1.1,Justin Gatlin,USA,10.02.82,Eugene,28.06.2015
246,19.90,+0.3,Rasheed Dwyer,JAM,29.01.89,Toronto,24.07.2015
246,19.90,+0.3,Alonso Edward,PAN,08.12.89,Toronto,24.07.2015
246,19.90A,+0.5,Wayde van Niekerk,RSA,15.07.92,Potchefstroom,22.04.2017
246,19.90,-0.4,Noah Lyles,USA,18.07.97,Shanghai,13.05.2017
246,19.90,+1.0,Ramil Guliyev,TUR,29.05.90,Oslo,07.06.2018
246,19.90,+0.9,Alonso Edward,PAN,08.12.89,Luzern,09.07.2018
246,19.90,+0.7,Noah Lyles,USA,18.07.97,Walnut,09.05.2021
246,19.90,+0.9,Kenneth Bednarek,USA,14.10.98,Eugene,26.06.2021
246,19.90,+0.3,Fred Kerley,USA,07.05.95,Eugene,27.06.2021
265,19.91,+1.9,Michael Johnson,USA,13.09.67,Salamanca,13.07.1992
265,19.91,±0.0,Michael Johnson,USA,13.09.67,Sevilla,09.06.2000
265,19.91,-0.7,Wallace Spearmon,USA,24.12.84,Sacramento,11.06.2005
265,19.91,+1.4,Wallace Spearmon,USA,24.12.84,Carson,20.05.2007
265,19.91,-0.8,Usain Bolt,JAM,21.08.86,Osaka,30.08.2007
265,19.91,+0.7,Nickel Ashmeade,JAM,07.04.90,Bruxelles,16.09.2011
265,19.91,+1.1,Yohan Blake,JAM,26.12.89,Kingston,05.05.2012
265,19.91,+1.1,Christophe Lemaitre,FRA,11.06.90,London,14.07.2012
265,19.91,+1.0,Ameer Webb,USA,19.03.91,Norwalk,16.04.2016
265,19.91,-0.6,Andre De Grasse,CAN,10.11.94,Ostrava,20.06.2019
265,19.91,+0.6,Christian Coleman,USA,06.03.96,Székesfehérvár,09.07.2019
265,19.91,-0.4,Joseph Fahnbulleh,USA,11.09.01,Eugene,11.06.2021
265,19.91,+1.1,Noah Lyles,USA,18.07.97,Eugene,26.06.2021
265,19.91,-0.1,Alexander Ogando,DOM,03.05.00,Eugene,19.07.2022
265,19.91,+0.9,Udodi Onwuzurike,NGR,29.01.03,Walnut,14.05.2023
280,19.92A,+1.9,John Carlos,USA,05.06.45,Echo Summit,12.09.1968
280,19.92,+1.3,Carl Lewis,USA,01.07.61,Madrid,04.06.1987
280,19.92,-0.2,Frank Fredericks,NAM,02.10.67,Bruxelles,23.08.1996
280,19.92,+1.6,Frank Fredericks,NAM,02.10.67,Melbourne,25.02.1999
280,19.92,+0.2,Maurice Greene,USA,23.07.74,Monaco,04.08.1999
280,19.92,+0.2,Xavier Carter,USA,08.12.85,Zürich,07.09.2007
280,19.92,±0.0,Jason Young,JAM,21.03.91,Bruxelles,07.09.2012
280,19.92,+0.2,Warren Weir,JAM,31.10.89,Saint-Denis,06.07.2013
280,19.92,+1.7,Justin Gatlin,USA,10.02.82,Eugene,27.06.2015
280,19.92,+0.4,Alonso Edward,PAN,08.12.89,Lausanne,25.08.2016
280,19.92,+0.9,Ramil Guliyev,TUR,29.05.90,Stockholm,10.06.2018
280,19.92,-0.1,Andre De Grasse,CAN,10.11.94,Lausanne,05.07.2019
280,19.92,+0.5,Christian Coleman,USA,06.03.96,Lexington,22.04.2022
280,19.92,-0.9,Matthew Boling,USA,20.06.00,Atlanta,23.04.2022
280,19.92,+1.4,Joseph Fahnbulleh,LBR,11.09.01,Baton Rouge,30.04.2022
280,19.92,-0.1,Joseph Fahnbulleh,LBR,11.09.01,Eugene,19.07.2022
280,19.92,+0.3,Fred Kerley,USA,07.05.95,Ad-Dawhah,05.05.2023
297,19.93,-1.5,Lorenzo Daniel,USA,23.03.66,Auburn,15.05.1988
297,19.93,-0.3,Michael Johnson,USA,13.09.67,Monaco,09.09.1995
297,19.93A,±0.0,Frank Fredericks,NAM,02.10.67,Johannesburg,24.09.1995
297,19.93,+0.7,Frank Fredericks,NAM,02.10.67,Stuttgart,13.07.1997
297,19.93,+0.5,Frank Fredericks,NAM,02.10.67,Monaco,16.08.1997
297,19.93,+0.8,Michael Johnson,USA,13.09.67,Roma,07.07.1999
297,19.93,+0.2,Frank Fredericks,NAM,02.10.67,Monaco,04.08.1999
297,19.93,+0.4,Michael Johnson,USA,13.09.67,Bruxelles,03.09.1999
297,19.93,+1.4,Usain Bolt,JAM,21.08.86,Hamilton,11.04.2004
297,19.93,+0.6,Tyson Gay,USA,09.08.82,Sacramento,09.06.2005
297,19.93,+0.1,Wallace Spearmon,USA,24.12.84,Monaco,22.07.2010
297,19.93,+1.7,Yohan Blake,JAM,26.12.89,Kingston,30.06.2012
297,19.93,-0.2,Nickel Ashmeade,JAM,07.04.90,Bruxelles,06.09.2013
297,19.93,+0.4,Isiah Young,USA,05.01.90,Eugene,28.06.2015
297,19.93A,-0.5,Alex Quiñonez,ECU,11.08.89,Cochabamba,07.06.2018
297,19.93,+1.5,Isiah Young,USA,05.01.90,Montverde,09.06.2018
297,19.93,+0.8,Cravon Gillespie,USA,31.07.96,Austin,07.06.2019
297,19.93,-0.6,Kenneth Bednarek,USA,14.10.98,Ostrava,19.05.2021
297,19.93,-0.5,Erriyon Knighton,USA,29.01.04,Tokyo,04.08.2021
297,19.93,-0.3,Josephus Lyles,USA,22.07.98,Eugene,26.06.2022
297,19.93,+0.4,Alexander Ogando,DOM,03.05.00,Eugene,21.07.2022
318,19.94,+1.4,Michael Johnson,USA,13.09.67,Sheffield,15.09.1991
318,19.94,+1.1,Michael Marsh,USA,04.08.67,Austin,09.05.1992
318,19.94,+0.3,John Regis,GBR,13.10.66,Stuttgart,20.08.1993
318,19.94,±0.0,Michael Johnson,USA,13.09.67,Monaco,02.08.1994
318,19.94,+0.6,Ato Boldon,TTO,30.12.73,Stockholm,08.07.1996
318,19.94,+0.1,Churandy Martina,NED,03.07.84,New York City,09.06.2012
318,19.94,+0.1,Nickel Ashmeade,JAM,07.04.90,New York City,09.06.2012
318,19.94,+1.4,Nickel Ashmeade,JAM,07.04.90,Lausanne,23.08.2012
318,19.94,+0.6,Wayde van Niekerk,RSA,15.07.92,Luzern,14.07.2015
318,19.94,-0.4,LaShawn Merritt,USA,27.06.86,Rio de Janeiro,17.08.2016
318,19.94,+0.8,Noah Lyles,USA,18.07.97,Clermont,25.07.2020
318,19.94,+0.7,Kenneth Bednarek,USA,14.10.98,Walnut,09.05.2021
318,19.94,-0.4,Terrance Laird,USA,12.10.98,Eugene,11.06.2021
318,19.94,+1.3,Courtney Lindsey,USA,18.11.98,Lubbock,29.04.2023
318,19.94,+0.6,Tarsis Orogot,UGA,24.11.02,Austin,07.06.2023
333,19.95,+1.9,Floyd Heard,USA,24.03.66,Lubbock,17.05.1987
