Place,Time,Athlete,Country,Date of Birth,City,Event Date
61,12:51.44,Kenenisa Bekele,ETH,13.06.82,Roma,14.07.2006
62,12:51.45,Vincent Chepkok,KEN,05.07.88,Ad-Dawhah,14.05.2010
63,12:51.60,Daniel Komen,KEN,17.05.76,Stockholm,08.07.1996
64,12:51.78,Nicholas Kimeli,KEN,29.09.98,Monaco,14.08.2020
65,12:51.93,Justyn Knight,CAN,19.07.96,Firenze,10.06.2021
66,12:51.95,Thomas Longosiwa,KEN,14.01.82,Bruxelles,14.09.2007
67,12:51.96,Albert Rop,BRN,17.07.92,Monaco,19.07.2013
68,12:51.98,Saif Saeed Shaheen,QAT,15.10.82,Roma,14.07.2006
69,12:52.09,Mohamed Katir,ESP,17.02.98,Firenze,02.06.2023
70,12:52.10,Yomif Kejelcha,ETH,01.08.97,Roma,09.06.2022
71,12:52.12,Yomif Kejelcha,ETH,01.08.97,Firenze,02.06.2023
72,12:52.15,Dominic Lokinyomo Lobalu,SSD,16.08.98,Bruxelles,02.09.2022
73,12:52.26,Kenenisa Bekele,ETH,13.06.82,Oslo,27.06.2003
74,12:52.29,Issac Songok,KEN,25.04.84,Roma,08.07.2005
75,12:52.32,Kenenisa Bekele,ETH,13.06.82,Zürich,28.08.2009
76,12:52.33,Sammy Kipketer,KEN,29.09.81,Oslo,27.06.2003
77,12:52.38,Daniel Komen,KEN,17.05.76,Milano,07.09.1996
78,12:52.39,Salah Hissou,MAR,16.01.72,Roma,05.06.1997
78,12:52.39,Issac Songok,KEN,25.04.84,Roma,14.07.2006
80,12:52.40,Edwin Cheruiyot,Soi,KEN,2 Saint-Denis,08.07.2006
81,12:52.45,Tariku Bekele,ETH,21.01.87,Berlin,01.06.2008
82,12:52.53,Salah Hissou,MAR,16.01.72,Milano,09.06.1999
83,12:52.61,Eliud Kipchoge,KEN,05.11.84,Oslo,27.06.2003
84,12:52.70,Haile Gebrselassie,ETH,18.04.73,Zürich,14.08.1996
85,12:52.76,Eliud Kipchoge,KEN,05.11.84,Roma,08.07.2005
86,12:52.79,Eliud Kipchoge,KEN,05.11.84,Saint-Denis,31.08.2003
87,12:52.80,Gebre-egziabher Gebremariam,ETH,10.09.84,Roma,08.07.2005
88,12:52.83,Hicham El Guerrouj,MAR,14.09.74,Saint-Denis,31.08.2003
89,12:52.97,Luis Grijalva,GUA,10.04.99,Firenze,02.06.2023
90,12:52.98,Telahun Haile Bekele,ETH,13.05.99,Roma,06.06.2019
91,12:52.99,Abraham Chebii,KEN,23.12.79,Oslo,27.06.2003
92,12:53.04,Selemon Barega,ETH,20.01.00,Roma,06.06.2019
93,12:53.11,Mohamed Farah,GBR,23.03.83,Monaco,22.07.2011
94,12:53.12,Kenenisa Bekele,ETH,13.06.82,Saint-Denis,31.08.2003
95,12:53.19,Haile Gebrselassie,ETH,18.04.73,Berlin,01.09.1995
96,12:53.28,Getnet Wale,ETH,16.07.00,Hengelo,08.06.2021
97,12:53.37,Abraham Chebii,KEN,23.12.79,Saint-Denis,04.07.2003
98,12:53.41,Khalid Boulami,MAR,07.08.69,Zürich,13.08.1997
99,12:53.45,Salah Hissou,MAR,16.01.72,Zürich,11.08.1999
100,12:53.46,Mark Kiptoo,KEN,21.06.76,Stockholm,06.08.2010
101,12:53.56,Dejen Gebremeskel,ETH,24.11.89,Stockholm,06.08.2010
102,12:53.58,Imane Merga,ETH,15.10.88,Stockholm,06.08.2010
103,12:53.60,Bernard Lagat,USA,12.12.74,Monaco,22.07.2011
104,12:53.66,Augustine Choge,KEN,21.01.87,Roma,08.07.2005
105,12:53.72,Philip Mosima,KEN,02.01.77,Roma,05.06.1996
106,12:53.81,Tariku Bekele,ETH,21.01.87,Roma,14.07.2006
106,12:53.81,Imane Merga,ETH,15.10.88,Oslo,04.06.2010
106,12:53.81,Joshua Cheptegei,UGA,12.09.96,Firenze,02.06.2023
109,12:53.84,Assefa Mezgebu,ETH,19.06.78,Bruxelles,28.08.1998
110,12:53.92,Haile Gebrselassie,ETH,18.04.73,Oslo,30.06.1999
111,12:53.97,Tariku Bekele,ETH,21.01.87,Oslo,04.06.2010
112,12:53.98,Yomif Kejelcha,ETH,01.08.97,Bruxelles,11.09.2015
113,12:54.07,Sammy Kipketer,KEN,29.09.81,Roma,30.06.2000
113,12:54.07,John Kibowen,KEN,21.04.69,Saint-Denis,31.08.2003
115,12:54.08,Haile Gebrselassie,ETH,18.04.73,Zürich,12.08.1998
116,12:54.12,Bernard Lagat,USA,12.12.74,Oslo,04.06.2010
117,12:54.13,Tariku Bekele,ETH,21.01.87,Saint-Denis,06.07.2012
118,12:54.15,Dejene Berhanu,ETH,12.12.80,Roma,02.07.2004
119,12:54.18,Isiah Koech,KEN,19.12.93,Monaco,22.07.2011
120,12:54.19,Abreham Cherkos,ETH,23.09.89,Roma,14.07.2006
121,12:54.21,Imane Merga,ETH,15.10.88,Roma,26.05.2011
122,12:54.22,Nibret Melak,ETH,09.10.99,Hengelo,08.06.2021
123,12:54.31,Telahun Haile Bekele,ETH,13.05.99,Firenze,02.06.2023
124,12:54.36,Haile Gebrselassie,ETH,18.04.73,Saint-Denis,04.07.2003
124,12:54.36,Eliud Kipchoge,KEN,05.11.84,Stockholm,06.08.2010
126,12:54.40,William Kincaid,USA,21.09.92,Firenze,02.06.2023
127,12:54.46,Moses Mosop,KEN,17.07.85,Saint-Denis,08.07.2006
128,12:54.58,James Kwalia,KEN,12.06.84,Oslo,27.06.2003
129,12:54.59,Isiah Koech,KEN,19.12.93,Roma,26.05.2011
130,12:54.60,Haile Gebrselassie,ETH,18.04.73,Nürnberg,13.06.1997
131,12:54.70,Dieter Baumann,GER,09.02.65,Zürich,13.08.1997
131,12:54.70,Moses Kipsiro,UGA,02.09.86,Berlin,01.06.2008
131,12:54.70,Hagos Gebrhiwet,ETH,11.05.94,Bruxelles,11.09.2015
134,12:54.72,Paul Tergat,KEN,17.06.69,Zürich,14.08.1996
135,12:54.82,Daniel Komen,KEN,17.05.76,Bruxelles,28.08.1998
136,12:54.83,Salah Hissou,MAR,16.01.72,Milano,07.09.1996
136,12:54.83,Muktar Edris,ETH,14.01.94,Stockholm,21.08.2014
138,12:54.85,Moses Kiptanui,KEN,01.10.70,Roma,05.06.1996
139,12:54.87,Selemon Barega,ETH,20.01.00,Roma,09.06.2022
140,12:54.89,Joshua Cheptegei,UGA,12.09.96,Firenze,10.06.2021
141,12:54.90,Daniel Simiyu,KEN,18.09.95,Bruxelles,02.09.2022
142,12:54.92,Hagos Gebrhiwet,ETH,11.05.94,Roma,06.06.2019
143,12:54.94,Eliud Kipchoge,KEN,05.11.84,Roma,14.07.2006
144,12:54.95,Yenew Alamirew,ETH,27.05.90,Roma,06.06.2013
145,12:54.99,Benjamin Limo,KEN,23.08.74,Saint-Denis,04.07.2003
146,12:55.03,Sammy Kipketer,KEN,29.09.81,Oslo,28.07.2000
146,12:55.03,Edwin Cheruiyot,Soi,KEN,2 Zürich,28.08.2009
146,12:55.03,Tariku Bekele,ETH,21.01.87,Zürich,19.08.2010
149,12:55.06,Lucas Rotich,KEN,16.04.90,Oslo,04.06.2010
150,12:55.14,Haile Gebrselassie,ETH,18.04.73,Berlin,26.08.1997
151,12:55.16,Daniel Komen,KEN,17.05.76,Roma,07.07.1999
151,12:55.16,Joe Klecker,USA,16.11.96,Firenze,02.06.2023
153,12:55.18,Daniel Komen,KEN,17.05.76,Milano,09.06.1999
153,12:55.18,Paul Tergat,KEN,17.06.69,Roma,30.06.2000
153,12:55.18,Muktar Edris,ETH,14.01.94,Bruxelles,31.08.2018
156,12:55.23,Muktar Edris,ETH,14.01.94,Lausanne,06.07.2017
157,12:55.26,Benjamin Limo,KEN,23.08.74,Bruxelles,26.08.2005
158,12:55.29,Vincent Chepkok,KEN,05.07.88,Roma,26.05.2011
159,12:55.30,Moses Kiptanui,KEN,01.10.70,Roma,08.06.1995
160,12:55.31,Kenenisa Bekele,ETH,13.06.82,Bruxelles,04.09.2009
161,12:55.34,Eliud Kipchoge,KEN,05.11.84,Saint-Denis,06.07.2012
162,12:55.37,Paul Tergat,KEN,17.06.69,Roma,07.07.1999
163,12:55.39,Salah Hissou,MAR,16.01.72,Roma,07.07.1999
164,12:55.47,Imane Merga,ETH,15.10.88,Monaco,22.07.2011
165,12:55.51,Haile Gebrselassie,ETH,18.04.73,London,30.07.2004
166,12:55.52,Eliud Kipchoge,KEN,05.11.84,Saint-Denis,04.07.2003
166,12:55.52,Hicham Bellani,MAR,15.09.79,Roma,14.07.2006
168,12:55.53,Chris Solinsky,USA,05.12.84,Stockholm,06.08.2010
169,12:55.55,Kenenisa Bekele,ETH,13.06.82,London,22.07.2005
170,12:55.57,Jacob Krop,KEN,04.06.01,Firenze,02.06.2023
171,12:55.58,Abebe Dinkesa Negera,ETH,06.03.84,Saint-Denis,01.07.2005
171,12:55.58,Selemon Barega,ETH,20.01.00,Lausanne,06.07.2017
173,12:55.59,Gebre-egziabher Gebremariam,ETH,10.09.84,Roma,02.07.2004
174,12:55.60,Jacob Kiplimo,UGA,14.11.00,Luzern,29.06.2021
175,12:55.63,Mark Bett,KEN,22.12.76,Oslo,28.07.2000
176,12:55.66,Imane Merga,ETH,15.10.88,Bruxelles,04.09.2009
177,12:55.69,Tariku Bekele,ETH,21.01.87,Saint-Denis,08.07.2006
178,12:55.72,Moses Masai,KEN,01.06.86,Barcelona,19.07.2008
179,12:55.73,Hagos Gebrhiwet,ETH,11.05.94,Roma,06.06.2013
180,12:55.76,Khalid Boulami,MAR,07.08.69,Zürich,14.08.1996
180,12:55.76,Craig Mottram,AUS,18.06.80,London,30.07.2004
182,12:55.79,Issac Songok,KEN,25.04.84,Oslo,02.06.2006
182,12:55.79,Kenenisa Bekele,ETH,13.06.82,Saint-Denis,06.07.2012
184,12:55.82,Benjamin Limo,KEN,23.08.74,Oslo,28.07.2000
185,12:55.84,Mohammed Ahmed,CAN,05.01.91,Roma,09.06.2022
186,12:55.85,Salah Hissou,MAR,16.01.72,Roma,12.07.2002
186,12:55.85,Boniface Songok,KEN,25.12.80,Bruxelles,26.08.2005
188,12:55.86,Benjamin Limo,KEN,23.08.74,Zürich,11.08.1999
189,12:55.88,Daniel Simiyu,KEN,18.09.95,Luzern,29.06.2021
190,12:55.89,Dejen Gebremeskel,ETH,24.11.89,Roma,26.05.2011
191,12:55.93,Salah Hissou,MAR,16.01.72,Paris,28.06.1996
192,12:55.94,Thomas Nyariki,KEN,27.09.71,Stockholm,07.07.1997
193,12:55.95,Josphat Kiprono Menjo,KEN,20.08.79,Turku,18.08.2010
194,12:55.98,Vincent Chepkok,KEN,05.07.88,Bruxelles,04.09.2009
195,12:55.99,Edwin Cheruiyot,Soi,KEN,10 Saint-Denis,06.07.2012
196,12:56.08,Thomas Longosiwa,KEN,14.01.82,Monaco,22.07.2011
196,12:56.08,Isiah Koech,KEN,19.12.93,Monaco,19.07.2013
198,12:56.13,Craig Mottram,AUS,18.06.80,London,22.07.2005
199,12:56.15,Daniel Komen,KEN,17.05.76,Roma,08.06.1995
200,12:56.16,Thomas Longosiwa,KEN,14.01.82,Stockholm,21.08.2014
201,12:56.18,Brahim Lahlafi,MAR,15.04.68,Oslo,28.07.2000
201,12:56.18,Selemon Barega,ETH,20.01.00,Firenze,02.06.2023
203,12:56.19,Selemon Barega,ETH,20.01.00,Paris,18.06.2022
204,12:56.23,Kenenisa Bekele,ETH,13.06.82,Roma,10.07.2009
205,12:56.24,Dejene Berhanu,ETH,12.12.80,Roma,08.07.2005
206,12:56.26,Birhanu Balew,BRN,27.02.96,Roma,06.06.2019
207,12:56.27,Albert Chepkurui,KEN,29.07.81,Oslo,27.06.2003
207,12:56.27,Dathan Ritzenhein,USA,30.12.82,Zürich,28.08.2009
207,12:56.27,Abadi Hadis,ETH,06.11.97,Bruxelles,31.08.2018
210,12:56.29,Paul Koech,KEN,25.06.69,Zürich,13.08.1997
211,12:56.32,Vincent Chepkok,KEN,05.07.88,Oslo,04.06.2010
212,12:56.34,Imane Merga,ETH,15.10.88,Zürich,19.08.2010
213,12:56.41,Augustine Choge,KEN,21.01.87,Melbourne,20.03.2006
214,12:56.45,Chris Solinsky,USA,05.12.84,Zürich,19.08.2010
215,12:56.46,Eliud Kipchoge,KEN,05.11.84,Milano,25.06.2009
215,12:56.46,Mohammed Ahmed,CAN,05.01.91,Firenze,02.06.2023
217,12:56.48,Abadi Hadis,ETH,06.11.97,Roma,06.06.2019
218,12:56.50,Luke Kipkosgei,KEN,27.11.75,Oslo,28.07.2000
218,12:56.50,Stewart McSweyn,AUS,01.06.95,Bruxelles,02.09.2022
220,12:56.52,Haile Gebrselassie,ETH,18.04.73,Berlin,01.09.1998
221,12:56.53,Mohamed Ali Abdosh,ETH,28.08.87,Bruxelles,04.09.2009
222,12:56.55,Benjamin Limo,KEN,23.08.74,Roma,07.07.1999
223,12:56.59,Paul Koech,KEN,25.06.69,Berlin,26.08.1997
223,12:56.59,Joe Klecker,USA,16.11.96,Oslo,15.06.2023
225,12:56.60,Mohammed Mourhit,BEL,10.10.70,Oslo,28.07.2000
226,12:56.63,Luis Grijalva,GUA,10.04.99,Oslo,15.06.2023
227,12:56.66,Thomas Nyariki,KEN,27.09.71,Bratislava,10.06.1997
227,12:56.66,Chris Solinsky,USA,05.12.84,Oslo,04.06.2010
229,12:56.72,Richard Limo,KEN,18.11.80,Zürich,17.08.2001
230,12:56.96,Haile Gebrselassie,ETH,18.04.73,Hengelo,04.06.1994
231,12:56.98,Mohamed Farah,GBR,23.03.83,Eugene,02.06.2012
232,12:56.99,Sammy Kipketer,KEN,29.09.81,Zürich,16.08.2002
232,12:56.99,Grant Fisher,USA,22.04.97,Firenze,02.06.2023
234,12:57.01,Augustine Choge,KEN,21.01.87,Berlin,12.09.2004
235,12:57.05,Mulugeta Wondimu,ETH,28.02.85,Berlin,12.09.2004
236,12:57.11,Boniface Kiprop,UGA,12.10.85,Stockholm,25.07.2006
237,12:57.14,Abraham Chebii,KEN,23.12.79,Roma,11.07.2003
238,12:57.18,Telahun Haile Bekele,ETH,13.05.99,Roma,09.06.2022
239,12:57.23,Worku Bikila,ETH,06.05.68,Roma,08.06.1995
239,12:57.23,Haile Gebrselassie,ETH,18.04.73,London,08.08.2003
241,12:57.24,Benjamin Limo,KEN,23.08.74,Roma,12.07.2002
242,12:57.25,Alemayehu Bezabeh,ESP,22.09.86,Oslo,04.06.2010
243,12:57.32,Luke Kipkosgei,KEN,27.11.75,Berlin,01.09.1998
244,12:57.34,Kenenisa Bekele,ETH,13.06.82,Roma,11.07.2003
245,12:57.41,Joshua Cheptegei,UGA,12.09.96,Zürich,29.08.2019
246,12:57.43,Josphat Bett,KEN,12.06.90,Bruxelles,04.09.2009
247,12:57.50,Benjamin Limo,KEN,23.08.74,Oslo,28.06.2002
248,12:57.52,Richard Limo,KEN,18.11.80,Roma,12.07.2002
249,12:57.55,Paul Chelimo,USA,27.10.90,Bruxelles,31.08.2018
250,12:57.56,Abreham Cherkos,ETH,23.09.89,Berlin,01.06.2008
250,12:57.56,Telahun Haile Bekele,ETH,13.05.99,Hengelo,09.06.2019
252,12:57.60,Boniface Kiprop,UGA,12.10.85,Saint-Denis,08.07.2006
253,12:57.62,Mark Kiptoo,KEN,21.06.76,Roma,10.07.2009
254,12:57.63,Isiah Koech,KEN,19.12.93,Eugene,02.06.2012
255,12:57.69,Eliud Kipchoge,KEN,05.11.84,Zürich,18.08.2006
256,12:57.71,Birhanu Balew,BRN,27.02.96,Firenze,10.06.2021
257,12:57.73,Salah Hissou,MAR,16.01.72,Saint-Denis,04.06.1998
258,12:57.74,Abraham Chebii,KEN,23.12.79,Saint-Denis,31.08.2003
258,12:57.74,Kenenisa Bekele,ETH,13.06.82,Berlin,03.09.2006
260,12:57.77,Vincent Chepkok,KEN,05.07.88,Zürich,19.08.2010
261,12:57.79,David Chelule,KEN,07.07.77,Roma,07.07.1999
262,12:57.82,Kenenisa Bekele,ETH,13.06.82,Beijing,23.08.2008
263,12:57.83,Mathew Kisorio,KEN,16.05.89,Oslo,04.06.2010
264,12:57.86,Richard Limo,KEN,18.11.80,Zürich,16.08.2002
264,12:57.86,Sileshi Sihine,ETH,29.01.83,Roma,26.05.2011
266,12:57.89,Abderrahim Goumri,MAR,21.05.76,Stockholm,25.07.2006
267,12:57.90,Luke Kipkosgei,KEN,27.11.75,Zürich,12.08.1998
267,12:57.90,Sammy Kipketer,KEN,29.09.81,Oslo,28.06.2002
267,12:57.90,Nicholas Kimeli,KEN,29.09.98,Hengelo,09.06.2019
270,12:57.94,Mohamed Farah,GBR,23.03.83,Zürich,19.08.2010
271,12:57.95,Haile Gebrselassie,ETH,18.04.73,Zürich,11.08.2000
272,12:57.99,Joshua Cheptegei,UGA,12.09.96,Eugene,27.05.2022
273,12:58.03,Joseph Ebuya,KEN,20.06.87,Saint-Denis,08.07.2006
274,12:58.08,Gebre-egziabher Gebremariam,ETH,10.09.84,Saint-Denis,31.08.2003
275,12:58.10,Sammy Kipketer,KEN,29.09.81,Oslo,30.06.1999
275,12:58.10,William Kincaid,USA,21.09.92,Beaverton,10.09.2019
277,12:58.13,Salah Hissou,MAR,16.01.72,Sevilla,28.08.1999
278,12:58.15,Richard Limo,KEN,18.11.80,Roma,07.07.1999
278,12:58.15,Hagos Gebrhiwet,ETH,11.05.94,Zürich,29.08.2019
278,12:58.15,Joshua Cheptegei,UGA,12.09.96,Tokyo,06.08.2021
281,12:58.16,Joseph Ebuya,KEN,20.06.87,Bruxelles,04.09.2009
281,12:58.16,Mohammed Ahmed,CAN,05.01.91,Roma,06.06.2019
283,12:58.17,Vincent Chepkok,KEN,05.07.88,Zürich,28.08.2009
283,12:58.17,Vincent Chepkok,KEN,05.07.88,Stockholm,06.08.2010
285,12:58.19,Craig Mottram,AUS,18.06.80,Melbourne,20.03.2006
286,12:58.21,Bob Kennedy,USA,18.08.70,Zürich,14.08.1996
286,12:58.21,Paul Tergat,KEN,17.06.69,Zürich,11.08.2000
288,12:58.22,Kenenisa Bekele,ETH,13.06.82,Oslo,02.06.2006
289,12:58.24,Leonard Komon,KEN,10.01.88,Roma,10.07.2009
290,12:58.28,Milkesa Mengesha,ETH,16.04.00,Hengelo,08.06.2021
291,12:58.29,Benjamin Limo,KEN,23.08.74,Roma,14.07.2006
292,12:58.31,Assefa Mezgebu,ETH,19.06.78,Zürich,12.08.1998
293,12:58.32,Imane Merga,ETH,15.10.88,Bruxelles,16.09.2011
294,12:58.39,Saïd Aouita,MAR,02.11.59,Roma,22.07.1987
294,12:58.39,Yomif Kejelcha,ETH,01.08.97,Roma,04.06.2015
296,12:58.41,Sileshi Sihine,ETH,29.01.83,Huelva,13.06.2008
297,12:58.43,Boniface Kiprop,UGA,12.10.85,Roma,08.07.2005
298,12:58.44,Samuel Tefera,ETH,23.10.99,Firenze,02.06.2023
299,12:58.45,Mohammed Mourhit,BEL,10.10.70,Roma,07.07.1999
300,12:58.49,Yusuf Biwott,KEN,12.11.86,Bruxelles,14.09.2007
301,12:58.51,Bekana Daba,ETH,29.07.88,Oslo,04.06.2010
302,12:58.56,Matt Tegenkamp,USA,19.01.82,Bruxelles,04.09.2009
303,12:58.57,Hailu Mekonnen,ETH,04.04.80,Roma,29.06.2001
304,12:58.58,Moukhled Al-Outaibi,KSA,30.04.80,Heusden-Zolder,23.07.2005
304,12:58.58,Mike Kigen,KEN,15.01.86,Oslo,02.06.2006
306,12:58.60,Gebre-egziabher Gebremariam,ETH,10.09.84,Saint-Denis,01.07.2005
306,12:58.60,Thierry Ndikumwenayo,ESP,26.03.97,Oslo,15.06.2023
308,12:58.61,John Kibowen,KEN,21.04.69,Oslo,28.06.2002
308,12:58.61,Mohammed Ahmed,CAN,05.01.91,Tokyo,06.08.2021
310,12:58.63,Sammy Kipketer,KEN,29.09.81,Zürich,11.08.2000
310,12:58.63,Muktar Edris,ETH,14.01.94,Roma,09.06.2022
312,12:58.64,Daniel Komen,KEN,17.05.76,Stockholm,05.08.1998
313,12:58.66,Benjamin Limo,KEN,23.08.74,Roma,08.07.2005
314,12:58.69,Paul Tanui,KEN,22.12.90,Roma,04.06.2015
314,12:58.69,Hagos Gebrhiwet,ETH,11.05.94,Roma,04.06.2015
316,12:58.70,Richard Limo,KEN,18.11.80,Roma,30.06.2000
316,12:58.70,Lucas Rotich,KEN,16.04.90,Roma,10.07.2009
316,12:58.70,Thomas Longosiwa,KEN,14.01.82,Bruxelles,16.09.2011
319,12:58.72,Benjamin Limo,KEN,23.08.74,Sevilla,28.08.1999
319,12:58.72,Mark Bett,KEN,22.12.76,Zürich,17.08.2001
321,12:58.74,Paul Tergat,KEN,17.06.69,Zürich,12.08.1998
322,12:58.75,Bob Kennedy,USA,18.08.70,Stockholm,08.07.1996
322,12:58.75,Yenew Alamirew,ETH,27.05.90,Bruxelles,06.09.2013
324,12:58.76,Abderrahim Goumri,MAR,21.05.76,Saint-Denis,08.07.2006
325,12:58.78,Lopez Lomong,USA,01.01.85,Portland,10.07.2020
326,12:58.80,Mohammed Mourhit,BEL,10.10.70,Sevilla,28.08.1999
327,12:58.83,Ismaïl Sghyr,FRA,16.03.72,Oslo,28.07.2000
328,12:58.85,Isiah Koech,KEN,19.12.93,Roma,06.06.2013
328,12:58.85,Muktar Edris,ETH,14.01.94,Ad-Dawhah,30.09.2019
330,12:58.90,Galen Rupp,USA,08.05.86,Eugene,02.06.2012
331,12:58.91,Edwin Cheruiyot,Soi,KEN,6 Zürich,19.08.2010
332,12:58.92,Dejen Gebremeskel,ETH,24.11.89,Oslo,07.06.2012
333,12:58.93,Tariku Bekele,ETH,21.01.87,Eugene,03.07.2010
334,12:58.94,Paul Bitok,KEN,26.06.70,Oslo,28.06.2002
334,12:58.94,Kenenisa Bekele,ETH,13.06.82,Hengelo,24.05.2008
336,12:58.95,Thomas Nyariki,KEN,27.09.71,Berlin,26.08.1997
337,12:58.98,Abraham Chebii,KEN,23.12.79,Zürich,16.08.2002
337,12:58.98,Isiah Koech,KEN,19.12.93,Zürich,30.08.2012
339,12:58.99,Ismaïl Sghyr,MAR,16.03.72,Zürich,14.08.1996
339,12:58.99,Hagos Gebrhiwet,ETH,11.05.94,Oslo,07.06.2012
339,12:58.99,Bernard Lagat,USA,12.12.74,Bruxelles,06.09.2013
339,12:58.99,Addisu Yihune,ETH,17.03.03,Hengelo,08.06.2021
343,12:59.01,Eliud Kipchoge,KEN,05.11.84,Monaco,22.07.2011
344,12:59.03,Tariku Bekele,ETH,21.01.87,Saint-Denis,01.07.2005
344,12:59.03,Thierry Ndikumwenayo,ESP,26.03.97,Firenze,02.06.2023
346,12:59.04,Abderrahim Goumri,MAR,21.05.76,London,30.07.2004
346,12:59.04,Imane Merga,ETH,15.10.88,Roma,04.06.2015
