Place,Time,Wind,Athlete,Country,Date of Birth,City,Event Date
80,10.78,+0.4,Carmelita Jeter,USA,24.11.79,Bruxelles,16.09.2011
80,10.78,+1.5,Carmelita Jeter,USA,24.11.79,London,04.08.2012
80,10.78,+1.6,Murielle Ahouré-Demps,CIV,23.08.87,Montverde,11.06.2016
80,10.78,+1.0,Tianna Bartoletta,USA,30.08.85,Eugene,03.07.2016
80,10.78,+1.0,Tori Bowie,USA,27.08.90,Eugene,03.07.2016
80,10.78,+0.8,Elaine Thompson-Herah,JAM,28.06.92,Lausanne,25.08.2016
80,10.78,-0.3,Elaine Thompson-Herah,JAM,28.06.92,Shanghai,13.05.2017
80,10.78,+0.7,Shelly-Ann Fraser-Pryce,JAM,27.12.86,London,21.07.2019
80,10.78,+1.8,Elaine Thompson-Herah,JAM,28.06.92,Clermont,02.05.2021
80,10.78,-0.3,Marie-Josée Ta Lou,CIV,18.11.88,Tokyo,30.07.2021
80,10.78,+0.5,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Bellinzona,14.09.2021
80,10.78,+0.6,Marie-Josée Ta Lou,CIV,18.11.88,Bruxelles,02.09.2022
80,10.78,+0.9,Marie-Josée Ta Lou,CIV,18.11.88,Clermont,14.05.2023
80,10.78,+1.6,Shericka Jackson,JAM,16.07.94,Kingston,03.06.2023
101,10.79A,+0.6,Evelyn Ashford,USA,15.04.57,Colorado Springs,03.07.1983
101,10.79,+1.7,Merlene Ottey,JAM,10.05.60,Vigo,23.07.1991
101,10.79,±0.0,Li Xuemei,CHN,05.01.77,Shanghai,18.10.1997
101,10.79,-0.6,Marion Jones,USA,12.10.75,Osaka,09.05.1998
101,10.79,-0.1,Inger Miller,USA,12.06.72,Sevilla,22.08.1999
101,10.79,-0.1,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Berlin,17.08.2009
101,10.79,+1.1,Blessing Okagbare,NGR,09.10.88,London,27.07.2013
101,10.79,+1.5,English Gardner,USA,22.04.92,Eugene,26.06.2015
101,10.79,+0.4,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Kingston,26.06.2015
101,10.79,-0.2,Marie-Josée Ta Lou,CIV,18.11.88,Tokyo,31.07.2021
101,10.79,-0.2,Shericka Jackson,JAM,16.07.94,Tokyo,31.07.2021
101,10.79,+0.7,Elaine Thompson-Herah,JAM,28.06.92,Eugene,28.05.2022
113,10.80,+1.6,Merlene Ottey,JAM,10.05.60,Salamanca,13.07.1992
113,10.80,-0.8,Marion Jones,USA,12.10.75,Bruxelles,28.08.1998
113,10.80,+1.1,Marion Jones,USA,12.10.75,Lausanne,02.07.1999
113,10.80,+1.4,Marion Jones,USA,12.10.75,London,07.08.1999
113,10.80,+0.7,Kerron Stewart,JAM,16.04.84,Kingston,28.06.2008
113,10.80,+0.8,Tori Bowie,USA,27.08.90,Monaco,18.07.2014
113,10.80,+0.2,Blessing Okagbare,NGR,09.10.88,Saint-Denis,04.07.2015
113,10.80,+0.7,Tori Bowie,USA,27.08.90,Ad-Dawhah,06.05.2016
113,10.80,-0.2,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Ad-Dawhah,28.09.2019
122,10.81,+1.7,Marlies Göhr,GDR,21.03.58,Berlin,08.06.1983
122,10.81,+1.2,Evelyn Ashford,USA,15.04.57,Indianapolis,17.07.1988
122,10.81,+0.8,Marion Jones,USA,12.10.75,Berlin,26.08.1997
122,10.81,+1.3,Christine Arron,FRA,13.09.73,Budapest,19.08.1998
122,10.81,+0.2,Marion Jones,USA,12.10.75,Berlin,01.09.1998
122,10.81,+0.1,Inger Miller,USA,12.06.72,Sevilla,22.08.1999
122,10.81,+1.0,Carmelita Jeter,USA,24.11.79,Kingston,05.05.2012
122,10.81,+1.5,Veronica Campbell-Brown,JAM,16.05.82,London,04.08.2012
122,10.81,+0.7,Carmelita Jeter,USA,24.11.79,Birmingham,26.08.2012
122,10.81,+1.7,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Eugene,30.05.2015
122,10.81,+1.7,Murielle Ahouré-Demps,CIV,23.08.87,Eugene,30.05.2015
122,10.81,+1.2,Tori Bowie,USA,27.08.90,Eugene,26.06.2015
122,10.81,-0.3,Dafne Schippers,NED,15.06.92,Beijing,24.08.2015
122,10.81,+1.5,English Gardner,USA,22.04.92,Eugene,28.05.2016
122,10.81,-0.4,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Ad-Dawhah,29.09.2019
122,10.81,+0.4,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Chorzów,05.09.2021
122,10.81,+1.7,Julien Alfred,LCA,10.06.01,Lubbock,14.05.2022
122,10.81,+0.5,Aleia Hobbs,USA,24.02.96,Eugene,24.06.2022
122,10.81,+0.8,Elaine Thompson-Herah,JAM,28.06.92,Eugene,17.07.2022
122,10.81,+0.4,Aleia Hobbs,USA,24.02.96,Monaco,10.08.2022
122,10.81,-0.8,Shericka Jackson,JAM,16.07.94,Zürich,08.09.2022
143,10.82,+1.4,Merlene Ottey,JAM,10.05.60,Berlin,17.08.1990
143,10.82,+2.0,Irina Privalova,RUS,12.11.68,Moskva,22.06.1992
143,10.82,-1.0,Gail Devers,USA,19.11.66,Barcelona,01.08.1992
143,10.82,+1.5,Gail Devers,USA,19.11.66,Lausanne,07.07.1993
143,10.82,-0.3,Gail Devers,USA,19.11.66,Stuttgart,16.08.1993
143,10.82,-0.3,Merlene Ottey,JAM,10.05.60,Stuttgart,16.08.1993
143,10.82,+0.4,Gwen Torrence,USA,12.06.65,Paris,03.09.1994
143,10.82,+1.1,Gwen Torrence,USA,12.06.65,Atlanta,15.06.1996
143,10.82,-0.5,Marion Jones,USA,12.10.75,Oslo,09.07.1998
143,10.82,-0.3,Zhanna Block,UKR,06.07.72,Edmonton,06.08.2001
143,10.82,-0.7,Sherone Simpson,JAM,12.08.84,Kingston,24.06.2006
143,10.82,+0.4,Carmelita Jeter,USA,24.11.79,Monaco,22.07.2010
143,10.82,+0.6,Veronica Campbell-Brown,JAM,16.05.82,Kingston,29.06.2012
143,10.82,+1.7,Tori Bowie,USA,27.08.90,Eugene,30.05.2015
143,10.82,+0.5,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Beijing,24.08.2015
143,10.82,+0.9,Michelle-Lee Ahye,TTO,10.04.92,Port of Spain,24.06.2017
143,10.82,+1.1,Elaine Thompson-Herah,JAM,28.06.92,Kingston,25.06.2021
143,10.82,+1.0,Shericka Jackson,JAM,16.07.94,Kingston,25.06.2021
143,10.82,+0.6,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Székesfehérvár,06.07.2021
143,10.82,+0.1,Elaine Thompson-Herah,JAM,28.06.92,Tokyo,30.07.2021
143,10.82,+0.5,Melissa Jefferson,USA,21.02.01,Eugene,24.06.2022
143,10.82,-0.2,Elaine Thompson-Herah,JAM,28.06.92,Eugene,17.07.2022
143,10.82,+0.6,Twanisha Terry,USA,24.01.99,Memphis,30.07.2022
166,10.83,+1.7,Marita Koch,GDR,18.02.57,Berlin,08.06.1983
166,10.83,±0.0,Sheila Echols,USA,02.10.64,Indianapolis,16.07.1988
166,10.83,-1.0,Juliet Cuthbert,JAM,09.04.64,Barcelona,01.08.1992
166,10.83,±0.0,Gwen Torrence,USA,12.06.65,Bruxelles,19.08.1994
166,10.83,+1.3,Gail Devers,USA,19.11.66,Milano,07.09.1996
166,10.83,+0.4,Marion Jones,USA,12.10.75,Athínai,03.08.1997
166,10.83,+0.9,Merlene Ottey,JAM,10.05.60,Bruxelles,22.08.1997
166,10.83,-0.4,Merlene Ottey,JAM,10.05.60,Tokyo,06.09.1997
166,10.83,+2.0,Irina Privalova,RUS,12.11.68,Budapest,19.08.1998
166,10.83,+0.4,Marion Jones,USA,12.10.75,Moskva,05.09.1998
166,10.83,-0.1,Marion Jones,USA,12.10.75,Sevilla,22.08.1999
166,10.83,+0.1,Ekateríni Thánou,GRE,01.02.75,Sevilla,22.08.1999
166,10.83,-1.3,Marion Jones,USA,12.10.75,Bruxelles,25.08.2000
166,10.83,+0.4,Zhanna Block,UKR,06.07.72,Heusden-Zolder,20.07.2002
166,10.83,-0.1,Carmelita Jeter,USA,24.11.79,Berlin,17.08.2009
166,10.83,-0.4,Carmelita Jeter,USA,24.11.79,Daegu,25.09.2009
166,10.83,+0.8,Carmelita Jeter,USA,24.11.79,Eugene,03.07.2010
166,10.83,+1.5,Carmelita Jeter,USA,24.11.79,London,03.08.2012
166,10.83,±0.0,Carmelita Jeter,USA,24.11.79,London,04.08.2012
166,10.83,-0.4,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Zürich,30.08.2012
166,10.83,+1.6,Kelly-Ann Baptiste,TTO,14.10.86,Port of Spain,22.06.2013
166,10.83,-0.2,Dafne Schippers,NED,15.06.92,Beijing,24.08.2015
166,10.83,+0.7,Dafne Schippers,NED,15.06.92,Ad-Dawhah,06.05.2016
166,10.83,+1.6,Veronica Campbell-Brown,JAM,16.05.82,Montverde,11.06.2016
166,10.83,+0.5,Tori Bowie,USA,27.08.90,Rio de Janeiro,13.08.2016
166,10.83,+1.1,Murielle Ahouré-Demps,CIV,23.08.87,Montverde,10.06.2017
166,10.83,+0.1,Dina Asher-Smith,GBR,04.12.95,Ad-Dawhah,29.09.2019
166,10.83,+0.9,Teahna Daniels,USA,25.03.97,Eugene,21.08.2021
166,10.83,+0.3,Elaine Thompson-Herah,JAM,28.06.92,Rabat,05.06.2022
166,10.83,+1.3,Aleia Hobbs,USA,24.02.96,New York City,12.06.2022
166,10.83,+0.8,Dina Asher-Smith,GBR,04.12.95,Eugene,17.07.2022
166,10.83,+0.6,Tamari Davis,USA,15.02.03,Memphis,30.07.2022
166,10.83,-0.1,Shericka Jackson,JAM,16.07.94,Nassau,20.08.2022
166,10.83,+0.7,Julien Alfred,LCA,10.06.01,Sacramento,27.05.2023
200,10.84,+1.7,Marlies Göhr,GDR,21.03.58,Zürich,22.08.1984
200,10.84,±0.0,Merlene Ottey,JAM,10.05.60,Lausanne,10.07.1991
200,10.84,+0.2,Merlene Ottey,JAM,10.05.60,Berlin,10.09.1991
200,10.84,+1.3,Chioma Ajunwa,NGR,25.12.70,Lagos,11.04.1992
200,10.84,-1.0,Irina Privalova,RUS,12.11.68,Barcelona,01.08.1992
200,10.84,+1.4,Gwen Torrence,USA,12.06.65,Göteborg,07.08.1995
200,10.84,-0.5,Gail Devers,USA,19.11.66,Bruxelles,23.08.1996
200,10.84,+0.3,Marion Jones,USA,12.10.75,Linz,05.07.1998
200,10.84,-0.1,Ekateríni Thánou,GRE,01.02.75,Sevilla,22.08.1999
200,10.84,-0.7,Marion Jones,USA,12.10.75,Osaka,13.05.2000
200,10.84,+0.6,Zhanna Block,UKR,06.07.72,Réthymno,07.07.2002
200,10.84,+1.9,Chandra Sturrup,BAH,12.09.71,Lausanne,05.07.2005
200,10.84,-0.1,Kerron Stewart,JAM,16.04.84,Berlin,17.08.2009
200,10.84,+1.8,Kelly-Ann Baptiste,TTO,14.10.86,Clermont,05.06.2010
200,10.84,+0.3,Veronica Campbell-Brown,JAM,16.05.82,Kingston,24.06.2011
200,10.84,+1.5,English Gardner,USA,22.04.92,Eugene,30.05.2015
200,10.84,+1.5,Elaine Thompson-Herah,JAM,28.06.92,Eugene,30.05.2015
200,10.84,+1.4,Kelly-Ann Baptiste,TTO,14.10.86,Port of Spain,27.06.2015
200,10.84,+1.1,Veronica Campbell-Brown,JAM,16.05.82,Montverde,10.06.2017
200,10.84,-0.2,Elaine Thompson-Herah,JAM,28.06.92,London,06.08.2017
200,10.84,+1.1,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Ad-Dawhah,28.05.2021
200,10.84,+1.1,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Kingston,25.06.2021
200,10.84,+1.0,Elaine Thompson-Herah,JAM,28.06.92,Kingston,25.06.2021
200,10.84,+1.3,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Tokyo,30.07.2021
200,10.84,+1.2,Dina Asher-Smith,GBR,04.12.95,Eugene,16.07.2022
200,10.84,-0.2,Shericka Jackson,JAM,16.07.94,Eugene,17.07.2022
200,10.84,+0.2,Julien Alfred,LCA,10.06.01,Norman,14.05.2023
227,10.85,+1.6,Evelyn Ashford,USA,15.04.57,Indianapolis,17.07.1988
227,10.85,+2.0,Anelia Nuneva,BUL,30.06.62,Sofia,02.09.1988
227,10.85,+1.5,Merlene Ottey,JAM,10.05.60,Rieti,09.09.1990
227,10.85,+0.9,Gwen Torrence,USA,12.06.65,Lausanne,06.07.1994
227,10.85,+0.9,Gwen Torrence,USA,12.06.65,Göteborg,07.08.1995
227,10.85,+1.4,Merlene Ottey,JAM,10.05.60,Göteborg,07.08.1995
227,10.85,+1.6,Gwen Torrence,USA,12.06.65,Atlanta,18.05.1996
227,10.85,+0.4,Zhanna Block,UKR,06.07.72,Athínai,03.08.1997
227,10.85,+0.8,Merlene Ottey,JAM,10.05.60,Berlin,26.08.1997
227,10.85,+1.5,Christine Arron,FRA,13.09.73,Montauban,05.08.1998
227,10.85,+0.4,Veronica Campbell-Brown,JAM,16.05.82,Zürich,19.08.2005
227,10.85,+1.0,Muna Lee,USA,30.10.81,Eugene,28.06.2008
227,10.85,+0.7,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Kingston,28.06.2008
227,10.85,+0.4,Veronica Campbell-Brown,JAM,16.05.82,Bruxelles,16.09.2011
227,10.85,+1.2,Shelly-Ann Fraser-Pryce,JAM,27.12.86,London,04.08.2012
227,10.85,+1.5,Tianna Bartoletta,USA,30.08.85,London,04.08.2012
227,10.85,+2.0,Barbara Pierre,USA,28.04.87,Des Moines,21.06.2013
227,10.85,+1.8,English Gardner,USA,22.04.92,Des Moines,21.06.2013
227,10.85,+1.1,Barbara Pierre,USA,28.04.87,London,27.07.2013
227,10.85,+1.6,Michelle-Lee Ahye,TTO,10.04.92,Port of Spain,21.06.2014
227,10.85,+0.3,Blessing Okagbare,NGR,09.10.88,Glasgow,28.07.2014
227,10.85,+0.2,Elaine Thompson-Herah,JAM,28.06.92,Kingston,01.07.2016
227,10.85,+2.0,Aleia Hobbs,USA,24.02.96,Baton Rouge,28.04.2017
227,10.85,+0.1,Tori Bowie,USA,27.08.90,London,06.08.2017
227,10.85,+1.5,Marie-Josée Ta Lou,CIV,18.11.88,Ad-Dawhah,04.05.2018
227,10.85,±0.0,Dina Asher-Smith,GBR,04.12.95,Berlin,07.08.2018
227,10.85,-0.3,Marie-Josée Ta Lou,CIV,18.11.88,Ad-Dawhah,28.09.2019
227,10.85,+0.2,Elaine Thompson-Herah,JAM,28.06.92,Roma,17.09.2020
227,10.85,+1.3,Sha'Carri Richardson,USA,25.03.00,New York City,12.06.2022
227,10.85,+0.1,Marie-Josée Ta Lou,CIV,18.11.88,Bellinzona,12.09.2022
227,10.85,+0.9,Shericka Jackson,JAM,16.07.94,Ad-Dawhah,05.05.2023
258,10.86,+0.4,Marlies Göhr,GDR,21.03.58,Potsdam,05.05.1984
258,10.86,+2.0,Marlies Göhr,GDR,21.03.58,Berlin,22.09.1985
258,10.86,+0.8,Anelia Nuneva,BUL,30.06.62,Beograd,17.06.1987
258,10.86,+0.6,Silke Möller,GER,20.06.64,Potsdam,20.08.1987
258,10.86,±0.0,Diane Williams,USA,14.12.60,Indianapolis,16.07.1988
258,10.86,-1.0,Gwen Torrence,USA,12.06.65,Barcelona,01.08.1992
258,10.86,+0.9,Gwen Torrence,USA,12.06.65,Bruxelles,03.09.1993
258,10.86,-0.2,Marion Jones,USA,12.10.75,Helsinki,13.06.1998
258,10.86,-0.3,Ekateríni Thánou,GRE,01.02.75,Sevilla,21.08.1999
258,10.86,+0.7,Inger Miller,USA,12.06.72,Sevilla,21.08.1999
258,10.86,+0.1,Chandra Sturrup,BAH,12.09.71,Nassau,21.07.2000
258,10.86,+1.2,Chryste Gaines,USA,14.09.70,Monaco,14.09.2003
258,10.86,+0.7,Carmelita Jeter,USA,24.11.79,Zürich,28.08.2009
258,10.86,+1.9,Carmelita Jeter,USA,24.11.79,Kingston,07.05.2011
258,10.86,+2.0,Marshevet Hooker,USA,25.09.84,Eugene,04.06.2011
258,10.86,+1.0,Kelly-Ann Baptiste,TTO,14.10.86,Kingston,05.05.2012
258,10.86,-0.1,Carmelita Jeter,USA,24.11.79,Lausanne,23.08.2012
258,10.86,-0.1,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Lausanne,23.08.2012
258,10.86,+0.1,Blessing Okagbare,NGR,09.10.88,London,27.07.2013
258,10.86,+2.0,Veronica Campbell-Brown,JAM,16.05.82,Montverde,07.06.2014
258,10.86,+1.2,English Gardner,USA,22.04.92,Eugene,26.06.2015
258,10.86,-0.3,Tori Bowie,USA,27.08.90,Beijing,24.08.2015
258,10.86,+0.5,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Rio de Janeiro,13.08.2016
258,10.86,+0.5,Marie-Josée Ta Lou,CIV,18.11.88,Rio de Janeiro,13.08.2016
258,10.86,+0.1,Marie-Josée Ta Lou,CIV,18.11.88,London,06.08.2017
258,10.86,+0.9,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Kingston,22.08.2020
258,10.86,+0.6,Marie-Josée Ta Lou,CIV,18.11.88,Székesfehérvár,06.07.2021
258,10.86,+1.9,Aleia Hobbs,USA,24.02.96,Baton Rouge,22.04.2023
286,10.87,+1.9,Marlies Göhr,GDR,21.03.58,Dresden,26.07.1984
286,10.87,+1.1,Merlene Ottey,JAM,10.05.60,Walnut,31.05.1987
286,10.87,+0.2,Anelia Nuneva,BUL,30.06.62,Sofia,02.09.1988
286,10.87,+0.2,Merlene Ottey,JAM,10.05.60,Roma,17.07.1991
286,10.87,-1.0,Merlene Ottey,JAM,10.05.60,Zürich,07.08.1991
286,10.87,-0.2,Merlene Ottey,JAM,10.05.60,Barcelona,20.09.1991
286,10.87,-0.3,Merlene Ottey,JAM,10.05.60,Stuttgart,16.08.1993
286,10.87,-0.3,Gwen Torrence,USA,12.06.65,Stuttgart,16.08.1993
286,10.87,±0.0,Gwen Torrence,USA,12.06.65,Monaco,02.08.1994
286,10.87,±0.0,Gwen Torrence,USA,12.06.65,Durham,13.08.1994
286,10.87,-0.3,Marion Jones,USA,12.10.75,Malmö,03.08.1998
286,10.87,+2.0,Ekateríni Thánou,GRE,01.02.75,Budapest,19.08.1998
286,10.87,+0.3,Sherone Simpson,JAM,12.08.84,Roma,14.07.2006
286,10.87,+0.7,Sherone Simpson,JAM,12.08.84,Kingston,28.06.2008
286,10.87,±0.0,Veronica Campbell-Brown,JAM,16.05.82,London,26.07.2008
286,10.87,+2.0,Kerron Stewart,JAM,16.04.84,Eugene,04.06.2011
286,10.87,+1.6,Marshevet Hooker,USA,25.09.84,Eugene,23.06.2011
286,10.87,+1.7,English Gardner,USA,22.04.92,Des Moines,21.06.2013
286,10.87,+1.8,Octavious Freeman,USA,20.04.92,Des Moines,21.06.2013
286,10.87,-0.1,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Moskva,12.08.2013
286,10.87,+1.7,Blessing Okagbare,NGR,09.10.88,Eugene,30.05.2015
286,10.87,+0.9,Tori Bowie,USA,27.08.90,Beijing,24.08.2015
286,10.87,+0.8,Elaine Thompson-Herah,JAM,28.06.92,Roma,02.06.2016
286,10.87,+0.3,Elaine Thompson-Herah,JAM,28.06.92,Rabat,16.07.2017
286,10.87,+0.8,Marie-Josée Ta Lou,CIV,18.11.88,London,06.08.2017
286,10.87,+0.8,Marie-Josée Ta Lou,CIV,18.11.88,Ad-Dawhah,29.09.2019
286,10.87,+0.5,Dina Asher-Smith,GBR,04.12.95,Ad-Dawhah,29.09.2019
286,10.87,+1.4,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Kingston,08.08.2020
