Place,Time,Athlete,Country,Date of Birth,City,Event Date
177,66:47,Irene Kimais,KEN,10.10.98,Jeddah,10.12.2022
183,66:48,Mary Keitany,KEN,18.01.82,Udine,14.10.2007
183,66:48,Caroline Kipkirui,KEN,26.05.94,Houston,14.01.2018
183,66:48,Fancy Chemutai,KEN,20.03.95,Houston,20.01.2019
183,66:48,Viola Chepngeno,KEN,19.09.98,Berlin,03.04.2022
183,66:48,Beatrice Cheserek,KEN,98,Cardiff,02.10.2022
188,66:49,Esther Wanjiru,KEN,27.03.77,Tokyo,15.01.1999
188,66:49,Mary Keitany,KEN,18.01.82,Ra's Al Khaymah,17.02.2012
188,66:49,Sofia Assefa,ETH,14.11.87,Lausanne,25.04.2015
188,66:49,Brigid Kosgei,KEN,20.02.94,Ra's Al Khaymah,08.02.2018
188,66:49,Tsehay Gemechu,ETH,12.12.98,New Dehli,21.10.2018
188,66:49,Netsanet Gudeta,ETH,12.02.91,Zallaq,15.03.2019
194,66:50,Tirunesh Dibaba,ETH,01.10.85,Ra's Al Khaymah,10.02.2017
194,66:50,Mary Wacera Ngugi,KEN,17.12.88,Houston,14.01.2018
194,66:50,Buze Diriba,ETH,09.02.94,Houston,14.01.2018
194,66:50,Margaret Kipkemboi,KEN,09.02.93,Valencia,23.10.2022
198,66:52,Brenda Jepleting,KEN,97,Herzogenaurach,12.09.2021
198,66:52,Magdalena Shauri,TAN,25.02.96,København,18.09.2022
198,66:52,Viola Chepngeno,KEN,19.09.98,Cardiff,02.10.2022
201,66:53+,Caroline Kipkirui,KEN,26.05.94,London,23.04.2017
202,66:54,Mary Keitany,KEN,18.01.82,New Delhi,01.11.2009
202,66:54+,Mary Keitany,KEN,18.01.82,London,23.04.2017
202,66:54,Joyciline Jepkosgei,KEN,08.12.93,Valencia,24.03.2018
202,66:54,Peres Jepchirchir,KEN,27.09.93,Lisboa,20.10.2019
202,66:54,Gudeta Bekelech,ETH,11.10.97,Istanbul,04.04.2021
207,66:55,Vivian Kiplagat,KEN,09.11.91,Lisboa,20.10.2019
208,66:56,Lornah Kiplagat,KEN,20.03.74,Den Haag,25.03.2000
208,66:56,Meseret Hailu Debele,ETH,12.09.90,Ra's Al Khaymah,15.02.2013
208,66:56a,Tirunesh Dibaba,ETH,01.10.85,Newcastle-South Shields,15.09.2013
208,66:56,Pauline Kamulu,KEN,16.04.95,Valencia,24.03.2018
208,66:56,Joyciline Jepkosgei,KEN,08.12.93,New Dehli,21.10.2018
208,66:56,Ruti Aga,ETH,16.01.94,Houston,20.01.2019
208,66:56,Brillian Kipkoech,KEN,09.03.95,Gdynia,17.10.2020
208,66:56,Lonah Chemtai Salpeter,ISR,12.12.88,Roma-Ostia Lido,05.03.2023
216,66:57a,Kara Goucher,USA,09.07.78,Newcastle-South Shields,30.09.2007
216,66:57,Gladys Chesire,KEN,20.02.93,Ra's Al Khaymah,12.02.2016
216,66:57,Zeineba Yimer,ETH,17.06.98,New Dehli,20.10.2019
216,66:57,Zenebu Fikadu,ETH,14.09.99,Lille,20.03.2022
216,66:57,Ftaw Zeray,ETH,97,Gqeberha,04.06.2022
221,66:58,Jemima Sumgong Jelagat,KEN,21.12.84,Ra's Al Khaymah,12.02.2016
221,66:58,Fancy Chemutai,KEN,20.03.95,Praha,01.04.2017
221,66:58,Vicoty Chepngeno,KEN,12.11.93,Istanbul,27.03.2022
221,66:58,Janeth Chepngetich,KEN,23.07.98,Verona,12.02.2023
225,66:59,Zeineba Yimer,ETH,17.06.98,New Dehli,21.10.2018
225,66:59+,Brigid Kosgei,KEN,20.02.94,Chicago,13.10.2019
227,67:00,Roza Dereje,ETH,09.05.97,Istanbul,08.04.2018
228,67:01,Gladys Cherono,KEN,12.05.83,Roma-Ostia Lido,12.03.2017
228,67:01,Sheila Chepkirui,KEN,27.12.90,Manama,12.12.2021
230,67:02,Priscah Jeptoo,KEN,26.06.84,Ra's Al Khaymah,14.02.2014
230,67:02,Cynthia Limo,KEN,18.12.89,Ra's Al Khaymah,13.02.2015
230,67:02,Ruth Chepngetich,KEN,08.08.94,København,16.09.2018
230,67:02,Degitu Azimeraw,ETH,24.01.99,Ra's Al Khaymah,21.02.2020
234,67:03a,Derartu Tulu,ETH,21.03.72,Lisboa,01.04.2001
234,67:03,Joyce Chepkirui,KEN,20.08.88,Praha,31.03.2012
234,67:03,Bekelech Gudeta,ETH,11.10.97,København,16.09.2018
237,67:04,Lucy Kabuu,KEN,24.03.84,New Delhi,27.11.2011
237,67:04,Asnakech Awoke,ETH,01.11.95,Barcelona,16.02.2020
239,67:05,Irene Cheptai,KEN,04.02.92,Manama,12.12.2021
239,67:05,Helen Obiri,KEN,13.12.89,Newcastle,11.09.2022
241,67:06a,Lucy Kabuu,KEN,24.03.84,Newcastle-South Shields,18.09.2011
242,67:07a,Paula Radcliffe,GBR,17.12.73,Newcastle-South Shields,22.10.2000
242,67:07,Elvan Abeylegesse,TUR,11.09.82,Ra's Al Khaymah,19.02.2010
242,67:07,Diana Kipyokei,KEN,05.05.94,Valencia,28.10.2018
242,67:07,Brenda Jepleting,KEN,97,Praha,05.09.2020
242,67:07,Peres Jepchirchir,KEN,27.09.93,Newcastle,11.09.2022
242,67:07,Magdalene Masai,KEN,04.04.93,Roma-Ostia Lido,05.03.2023
248,67:08a,Rita Sitienei Jeptoo,KEN,15.02.81,Lisboa,18.03.2007
248,67:08,Sharon Cherop,KEN,16.03.84,New Delhi,27.11.2011
248,67:08,Worknesh Degefa,ETH,28.10.90,Roma-Ostia Lido,13.03.2016
248,67:08,Purity Komen,KEN,01.05.98,Lisboa,12.03.2023
252,67:09,Peres Jepchirchir,KEN,27.09.93,Valencia,23.10.2016
252,67:09,Madina Mehamed,ETH,2,Lido,06.03.2022
252,67:09,Magdalena Shauri,TAN,25.02.96,Valencia,23.10.2022
255,67:10,Dorcas Kimeli,KEN,05.07.97,Barcelona,16.02.2020
255,67:10,Rosemary Wanjiru,KEN,21.09.94,Gdynia,17.10.2020
255,67:10,Purity Komen,KEN,01.05.98,Lille,20.03.2022
255,67:10,Almaz Ayana,ETH,21.11.91,Newcastle,11.09.2022
259,67:11a,Elizabeth McColgan,GBR,24.05.64,Tokyo,26.01.1992
259,67:11,Kimberley Smith,NZL,19.11.81,Philadelphia,18.09.2011
259,67:11,Daisy Cherotich,KEN,30.06.97,Manama,12.12.2021
259,67:11,Emily Sisson,USA,12.10.91,Indianapolis,07.05.2022
259,67:11,Gotytom Gebreslase,ETH,15.01.95,Lisboa,08.05.2022
259,67:11,Irene Kimais,KEN,10.10.98,Valencia,23.10.2022
265,67:12a,Tegla Loroupe,KEN,09.05.73,Lisboa,10.03.1996
265,67:12,Almaz Ayana,ETH,21.11.91,New Dehli,19.11.2017
265,67:12,Brillian Kipkoech,KEN,09.03.95,København,15.09.2019
265,67:12,Sandrafelis Tuei,KEN,20.01.98,Madrid,17.10.2021
269,67:13,Hurssa Mare Dibaba,ETH,20.10.89,Ra's Al Khaymah,19.02.2010
269,67:13,Florence Kiplagat,KEN,27.02.87,Ra's Al Khaymah,15.02.2013
269,67:13,Edith Chelimo,KEN,16.07.86,Houston,14.01.2018
269,67:13,Gladys Cherono,KEN,12.05.83,Ra's Al Khaymah,08.02.2018
269,67:13,Diana Kipyokei,KEN,05.05.94,Roma-Ostia Lido,10.03.2019
274,67:14,Mary Keitany,KEN,18.01.82,Abu Dhabi,07.01.2010
274,67:14,Worknesh Degefa,ETH,28.10.90,Praha,28.03.2015
274,67:14,Dorcas Kimeli,KEN,05.07.97,Praha,05.09.2020
277,67:15,Stacey Ndiwa,KEN,06.12.92,New Dehli,21.10.2018
277,67:15,Sara Hall,USA,15.04.83,Houston,16.01.2022
277,67:15,Pauline Esikon,KEN,24.12.90,Santa Pola,23.01.2022
277,67:15,Eveline Chirchir,KEN,10.05.98,Ra's Al Khaymah,18.02.2023
281,67:16,Edith Masai,KEN,04.04.67,Berlin,02.04.2006
281,67:16,Angela Tanui,KEN,27.07.92,Roma-Ostia Lido,13.03.2016
281,67:16+,Mary Keitany,KEN,18.01.82,London,22.04.2018
281,67:16,Edith Chelimo,KEN,16.07.86,Praha,05.09.2020
285,67:17,Pascalia Kipkoech,KEN,22.12.88,Rio de Janeiro,19.08.2012
285,67:17,Peres Jepchirchir,KEN,27.09.93,Ústí nad Labem,12.09.2015
285,67:17,Eunice Chumba,BRN,23.05.93,Valencia,24.03.2018
288,67:18,Dire Tune,ETH,19.06.85,Ra's Al Khaymah,20.02.2009
288,67:18,Eunice Chumba,BRN,23.05.93,Houston,14.01.2018
288,67:18,Yebrqual Melese,ETH,18.04.90,Lisboa,14.10.2018
288,67:18,Dorcas Tuitoek,KEN,31.01.98,Valencia,06.12.2020
288,67:18,Alemu Megertu,ETH,12.10.97,Jeddah,10.12.2022
293,67:19a,Sonia O'Sullivan,IRL,28.11.69,Newcastle-South Shields,06.10.2002
294,67:20,Jess Piasecki,GBR,18.04.90,Santa Pola,23.01.2022
295,67:21,Aselefech Mergia,ETH,23.01.85,New Delhi,27.11.2011
295,67:21,Sharon Cherop,KEN,16.03.84,Philadelphia,16.09.2012
295,67:21,Ababel Yeshaneh,ETH,22.07.91,New Dehli,19.11.2017
295,67:21,Bekelech Gudeta,ETH,11.10.97,København,15.09.2019
295,67:21,Hawi Feysa,ETH,01.02.99,Manama,12.12.2021
295,67:21,Catherine Relin,KEN,10.05.02,Lisboa,12.03.2023
295,67:21,Helen Obiri,KEN,13.12.89,New York City,19.03.2023
302,67:22a,Elana Meyer,RSA,10.10.66,Tokyo,24.01.1993
302,67:22,Aselefech Mergia,ETH,23.01.85,Ra's Al Khaymah,19.02.2010
302,67:22,Agnes Kiprop,KEN,14.12.79,Roma-Ostia Lido,26.02.2012
302,67:22,Nancy Kiprop,KEN,07.07.79,Ústí nad Labem,16.09.2017
302,67:22,Eunice Chumba,BRN,23.05.93,Ra's Al Khaymah,19.02.2022
302,67:22,Hiwot Gebrekidan,ETH,11.05.95,Newcastle,11.09.2022
302,67:22,Pauline Kamulu,KEN,16.04.95,Marugame,05.02.2023
309,67:23,Margaret Okayo,KEN,30.05.76,Udine,28.09.2003
309,67:23+,Eunice Jepkirui,KEN,20.05.84,Amsterdam,21.10.2012
309,67:23,Lucy Cheruiyot,KEN,04.01.97,Ústí nad Labem,16.09.2017
309,67:23,Roza Dereje,ETH,09.05.97,København,17.09.2017
309,67:23,Caroline Korir,KEN,11.08.94,Roma-Ostia Lido,05.03.2023
314,67:24a,Tegla Loroupe,KEN,09.05.73,Lisboa,26.03.2000
314,67:24+,Diane Chepkemoi,KEN,87,Amsterdam,21.10.2012
314,67:24+,Genet Getaneh,ETH,06.01.86,Amsterdam,21.10.2012
314,67:24+,Goitetom Haftu,ETH,08.10.87,Amsterdam,21.10.2012
314,67:24+,Meseret Hailu Debele,ETH,12.09.90,Amsterdam,21.10.2012
314,67:24,Peres Jepchirchir,KEN,27.09.93,Ústí Nad Labem,17.09.2016
320,67:25,Meseret Defar,ETH,19.11.83,New Orleans,24.02.2013
320,67:25,Molly Huddle,USA,31.08.84,Houston,14.01.2018
320,67:25,Hawi Feysa,ETH,01.02.99,Valencia,24.10.2021
320,67:25,Zewditu Aderaw,ETH,2,12.02.2023
324,67:26,Kayoko Fukushi,JPN,25.03.82,Marugame,05.02.2006
324,67:26,Lydia Cheromei,KEN,11.05.77,Praha,31.03.2012
324,67:26,Netsanet Gudeta,ETH,12.02.91,New Dehli,19.11.2017
324,67:26,Emily Sisson,USA,12.10.91,Valencia,06.12.2020
328,67:27,Beleynesh Oljira,ETH,26.06.90,New Delhi,27.11.2011
329,67:28,Werknesh Kidane,ETH,21.11.81,Philadelphia,18.09.2011
329,67:28,Gladys Cherop,KEN,27.10.00,Milano,19.03.2023
329,67:28,Aberash Shilima Kebeda,ETH,2,19.03.2023
332,67:29,Elana Meyer,RSA,10.10.66,Kyoto,08.03.1998
332,67:29,Gladys Cherono,KEN,12.05.83,København,29.03.2014
332,67:29,Monicah Wanjuhi,KEN,07.11.93,Houston,20.01.2019
332,67:29,Purity Komen,KEN,01.05.98,Valencia,23.10.2022
336,67:30,Netsanet Gudeta,ETH,12.02.91,Olomouc,23.06.2018
336,67:30,Emily Sisson,USA,12.10.91,Houston,20.01.2019
336,67:30,Yeshi Chekole,ETH,12.07.97,Málaga,24.04.2022
336,67:30,Anchinalu Dessie,ETH,3,19.03.2023
340,67:31,Netsanet Gudeta,ETH,12.02.91,Valencia,18.10.2015
340,67:31,Magdalene Masai,KEN,04.04.93,Roma-Ostia Lido,13.03.2016
340,67:31,Peres Jepchirchir,KEN,27.09.93,Cardiff,26.03.2016
340,67:31,Lucy Cheruiyot,KEN,04.01.97,Valencia,22.10.2017
340,67:31,Alia Mohamed Saeed,UAE,18.05.91,Istanbul,04.04.2021
340,67:31,Brillian Kipkoech,KEN,09.03.95,Madrid,17.10.2021
340,67:31,Brenda Jepleting,KEN,97,Santa Pola,23.01.2022
347,67:32,Tegla Loroupe,KEN,09.05.73,Den Haag,28.03.1998
347,67:32a,Berhane Adere,ETH,21.07.73,Newcastle-South Shields,21.09.2003
